시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.1,49.4,4.1,46.4,-8.3,1.3,0.66
강세장,저평가형,17,7.7,49.1,1.7,24.6,-8.7,1.22,0.27
강세장,모멘텀형,17,13.2,49.8,7.2,36.5,-6.9,1.79,1.08
강세장,국면대응형,17,11.1,48.8,5.1,36.1,-4.8,1.77,0.83
횡보장,밸런스형,13,7.4,54.6,4.6,26.7,-9.7,1.24,1.08
횡보장,저평가형,13,4.9,56.5,2.1,19.0,-11.1,1.02,0.88
횡보장,모멘텀형,13,4.7,52.8,2.0,26.8,-15.9,0.73,0.41
횡보장,국면대응형,13,6.0,56.2,3.2,23.7,-12.5,1.0,0.73
약세장,밸런스형,11,2.0,47.3,0.0,19.5,-8.8,0.25,0.01
약세장,저평가형,11,2.8,46.4,0.8,37.1,-16.7,0.26,0.23
약세장,모멘텀형,11,0.5,38.8,-1.4,29.2,-12.2,-0.06,-0.33
약세장,국면대응형,11,2.6,46.8,0.7,41.6,-19.0,0.23,0.18
