시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.6,49.1,3.6,32.0,-11.4,1.5,0.74
강세장,저평가형,17,8.2,47.6,2.2,23.7,-10.4,1.41,0.44
강세장,모멘텀형,17,11.3,45.9,5.3,42.4,-10.8,1.37,0.86
강세장,국면대응형,17,9.9,49.4,3.9,33.3,-7.0,1.51,0.63
횡보장,밸런스형,13,7.1,55.8,4.3,30.4,-11.9,1.09,0.82
횡보장,저평가형,13,5.0,55.4,2.2,19.7,-14.4,0.87,0.53
횡보장,모멘텀형,13,8.2,56.9,5.4,22.5,-8.8,1.52,1.04
횡보장,국면대응형,13,6.4,55.8,3.6,30.2,-9.9,1.03,0.68
약세장,밸런스형,11,1.5,45.9,-0.4,23.9,-13.8,0.11,-0.14
약세장,저평가형,11,2.1,47.7,0.2,30.8,-14.9,0.19,0.05
약세장,모멘텀형,11,0.5,41.2,-1.5,30.1,-10.2,-0.07,-0.45
약세장,국면대응형,11,1.9,50.5,-0.0,23.4,-14.6,0.17,-0.0
