연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.7,0.7,4.5,-0.0
2017,4,4.1,9.3,7.0,3.2,8.8
2018,4,-1.9,-0.5,-3.7,-5.5,-1.8
2019,4,0.5,8.4,4.4,6.1,7.5
2020,4,9.1,12.9,12.1,8.3,11.3
2021,4,-3.5,6.9,9.0,10.3,9.6
2022,4,-2.3,-3.5,-0.8,2.7,-1.0
2023,4,1.6,8.4,4.9,6.9,6.5
2024,4,-0.3,8.9,5.7,14.1,9.2
2025,4,21.5,20.7,15.9,25.3,20.5
2026,1,32.0,8.1,7.5,21.2,16.9
