연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.2,2.0,3.9,4.1
2017,4,4.1,10.1,8.1,4.8,11.4
2018,4,-1.9,-1.1,-3.8,-3.5,-1.7
2019,4,0.5,6.4,2.8,5.3,6.8
2020,4,9.1,9.6,10.5,8.8,8.3
2021,4,-3.5,9.3,8.7,7.1,9.5
2022,4,-2.3,-0.4,-1.3,1.6,-1.2
2023,4,1.6,2.4,5.4,1.1,4.1
2024,4,-0.3,6.3,4.7,6.6,7.7
2025,4,21.5,24.1,16.1,21.8,24.0
2026,1,32.0,11.6,1.6,27.0,20.7
