시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,12.9,52.9,6.9,43.9,-7.3,1.6,1.29
강세장,저평가형,17,5.5,47.1,-0.5,34.3,-6.4,0.82,-0.12
강세장,모멘텀형,17,12.4,50.2,6.4,35.8,-7.0,1.98,1.09
강세장,국면대응형,17,10.9,50.6,4.9,25.0,-5.4,1.98,0.81
횡보장,밸런스형,13,5.9,55.8,3.1,29.2,-10.2,0.98,0.93
횡보장,저평가형,13,1.4,46.2,-1.4,14.5,-10.1,0.15,-0.69
횡보장,모멘텀형,13,5.4,54.4,2.6,31.7,-8.3,0.74,0.44
횡보장,국면대응형,13,4.5,54.6,1.7,27.6,-7.9,0.8,0.63
약세장,밸런스형,11,0.7,45.0,-1.2,23.7,-16.9,-0.03,-0.36
약세장,저평가형,11,1.4,45.5,-0.5,36.3,-16.5,0.07,-0.15
약세장,모멘텀형,11,-0.9,41.8,-2.8,33.3,-16.5,-0.25,-0.74
약세장,국면대응형,11,1.5,46.4,-0.5,34.9,-15.7,0.08,-0.14
