분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,9.8,75.0,14.8,95.0,1.5,50.0,13.9,95.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,6.5,60.0,3.9,65.0,12.2,70.0,6.5,60.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-6.0,25.0,-7.5,20.0,-2.0,35.0,-1.4,30.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,2.4,60.0,4.8,60.0,0.1,65.0,2.4,60.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,7.0,65.0,8.2,90.0,1.4,40.0,4.2,65.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,8.8,65.0,8.8,55.0,4.0,45.0,8.0,55.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,16.8,85.0,16.4,85.0,10.0,55.0,14.2,65.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,0.9,60.0,1.4,65.0,2.4,55.0,10.3,70.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.6,40.0,3.1,55.0,-4.2,35.0,1.9,45.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-10.0,25.0,-8.8,25.0,-11.6,25.0,-8.8,30.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-7.4,15.0,-15.5,5.0,-11.1,20.0,-16.3,5.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,17.5,90.0,16.0,100.0,2.7,40.0,14.6,90.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,17.2,65.0,-0.4,40.0,27.8,70.0,11.0,65.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-2.6,30.0,-11.4,25.0,-4.0,30.0,-7.3,30.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-2.0,55.0,0.9,55.0,0.0,50.0,4.1,75.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,5.7,65.0,18.3,75.0,-0.3,50.0,10.6,60.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-3.6,30.0,-2.2,45.0,-4.0,30.0,-0.8,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,30.6,70.0,31.5,75.0,30.0,70.0,22.7,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,13.0,55.0,1.3,55.0,-0.8,45.0,-2.2,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,16.6,70.0,10.7,65.0,13.9,65.0,22.1,85.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,14.6,70.0,13.7,85.0,3.5,50.0,11.5,60.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,12.8,50.0,13.3,50.0,-1.6,40.0,0.4,35.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,0.9,35.0,-6.3,15.0,20.8,35.0,23.1,45.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,5.8,55.0,4.6,40.0,-15.5,25.0,3.1,30.0,2021
