시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.4,47.9,3.4,28.9,-3.5,1.64,0.59
강세장,저평가형,17,8.2,48.2,2.2,24.4,-10.9,1.4,0.5
강세장,모멘텀형,17,10.9,44.3,4.9,36.5,-10.8,1.41,0.75
강세장,국면대응형,17,9.2,50.0,3.2,30.0,-7.0,1.54,0.51
횡보장,밸런스형,13,7.5,57.3,4.8,29.6,-11.9,1.15,0.9
횡보장,저평가형,13,4.7,54.6,2.0,20.5,-15.3,0.8,0.46
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.7,1.64,1.16
횡보장,국면대응형,13,6.0,55.8,3.3,29.6,-10.3,0.96,0.62
약세장,밸런스형,11,1.5,46.4,-0.5,22.2,-11.9,0.12,-0.15
약세장,저평가형,11,2.0,47.7,0.1,27.5,-14.3,0.18,0.02
약세장,모멘텀형,11,0.5,41.8,-1.5,29.6,-11.1,-0.07,-0.48
약세장,국면대응형,11,2.3,50.0,0.3,26.2,-13.4,0.22,0.1
