연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.3,1.8,4.7,1.3
2017,4,4.1,10.2,5.3,4.9,8.7
2018,4,-1.9,-2.0,-2.3,-7.8,-3.9
2019,4,0.5,9.6,4.6,6.3,10.7
2020,4,9.1,12.5,11.8,9.6,14.7
2021,4,-3.5,7.0,4.9,8.4,9.9
2022,4,-2.3,-0.6,0.3,1.9,-0.6
2023,4,1.6,5.8,5.6,5.2,8.2
2024,4,-0.3,7.8,6.9,11.0,7.2
2025,4,21.5,22.7,16.3,24.7,20.3
2026,1,32.0,8.8,-0.4,23.5,10.5
