시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.6,48.5,3.6,28.1,-4.3,1.67,0.61
강세장,저평가형,17,8.9,48.8,2.9,26.9,-10.1,1.48,0.62
강세장,모멘텀형,17,10.9,44.3,4.9,36.5,-10.8,1.41,0.75
강세장,국면대응형,17,10.7,50.3,4.7,32.0,-7.0,1.63,0.78
횡보장,밸런스형,13,7.3,56.9,4.6,28.4,-11.9,1.15,0.88
횡보장,저평가형,13,4.7,54.6,1.9,19.7,-14.9,0.8,0.45
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.7,1.64,1.16
횡보장,국면대응형,13,6.5,56.9,3.8,30.2,-9.0,1.08,0.71
약세장,밸런스형,11,1.4,45.9,-0.5,23.3,-13.8,0.1,-0.17
약세장,저평가형,11,1.5,46.8,-0.5,22.4,-14.8,0.11,-0.15
약세장,모멘텀형,11,0.5,41.8,-1.5,29.6,-11.1,-0.07,-0.48
약세장,국면대응형,11,1.8,49.1,-0.2,22.7,-13.7,0.15,-0.05
