연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.3,1.8,4.7,1.3
2017,4,4.1,9.1,7.5,4.4,7.5
2018,4,-1.9,-0.9,-3.1,-4.1,-3.2
2019,4,0.5,6.6,3.0,5.1,9.4
2020,4,9.1,6.9,13.2,7.5,14.1
2021,4,-3.5,8.7,6.4,9.1,7.5
2022,4,-2.3,-2.8,-0.6,3.6,-0.8
2023,4,1.6,3.2,6.4,3.9,8.1
2024,4,-0.3,7.0,5.3,13.6,6.8
2025,4,21.5,25.1,17.0,28.0,20.5
2026,1,32.0,3.7,-2.8,10.3,5.5
