연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.3,3.9,3.6,1.6
2017,4,4.1,8.8,7.5,4.0,8.3
2018,4,-1.9,-2.5,-3.8,-5.1,-3.1
2019,4,0.5,5.4,4.2,2.0,6.5
2020,4,9.1,8.6,8.7,7.6,8.0
2021,4,-3.5,8.6,8.8,10.3,7.6
2022,4,-2.3,-3.5,0.3,0.7,-1.5
2023,4,1.6,8.5,5.1,6.9,6.4
2024,4,-0.3,9.1,3.2,13.6,4.8
2025,4,21.5,23.0,15.8,28.7,22.3
2026,1,32.0,13.2,12.9,22.8,11.5
