시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.1,49.4,3.1,46.4,-8.6,1.18,0.52
강세장,저평가형,17,7.7,49.1,1.7,24.6,-8.7,1.22,0.27
강세장,모멘텀형,17,10.2,45.5,4.2,41.0,-16.2,1.27,0.6
강세장,국면대응형,17,9.8,47.6,3.8,41.3,-6.6,1.37,0.58
횡보장,밸런스형,13,6.9,53.5,4.1,25.3,-12.9,1.1,0.88
횡보장,저평가형,13,4.9,56.5,2.1,19.0,-11.1,1.02,0.88
횡보장,모멘텀형,13,10.0,59.5,7.3,27.5,-7.4,1.72,1.33
횡보장,국면대응형,13,7.4,56.2,4.7,30.9,-14.2,1.11,0.85
약세장,밸런스형,11,1.9,47.7,-0.1,19.4,-9.2,0.21,-0.03
약세장,저평가형,11,2.8,46.4,0.8,37.1,-16.7,0.26,0.23
약세장,모멘텀형,11,0.9,43.6,-1.1,29.1,-11.0,-0.0,-0.36
약세장,국면대응형,11,2.5,46.8,0.6,41.6,-19.1,0.21,0.15
