연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.0,2.1,4.5,0.1
2017,4,4.1,8.8,6.4,3.2,8.0
2018,4,-1.9,-2.0,-3.9,-5.5,0.1
2019,4,0.5,9.4,5.8,6.1,7.7
2020,4,9.1,12.2,9.6,8.3,8.5
2021,4,-3.5,7.7,7.6,10.3,9.3
2022,4,-2.3,-2.5,-0.4,2.7,-1.5
2023,4,1.6,7.1,5.6,6.9,7.2
2024,4,-0.3,4.9,3.6,14.1,7.7
2025,4,21.5,21.4,16.8,25.3,23.1
2026,1,32.0,1.4,14.8,21.2,6.6
