시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.7,50.9,4.7,32.1,-5.6,1.7,0.86
강세장,저평가형,17,8.1,48.8,2.1,23.8,-10.5,1.48,0.39
강세장,모멘텀형,17,11.9,46.3,5.9,42.4,-10.8,1.44,0.96
강세장,국면대응형,17,9.2,47.9,3.2,45.0,-9.6,1.27,0.56
횡보장,밸런스형,13,6.6,55.8,3.8,27.9,-11.2,1.07,1.06
횡보장,저평가형,13,4.1,53.1,1.4,18.5,-12.6,0.81,0.47
횡보장,모멘텀형,13,8.4,57.9,5.6,22.5,-9.2,1.58,1.11
횡보장,국면대응형,13,5.6,55.0,2.9,24.6,-12.3,0.92,0.69
약세장,밸런스형,11,1.4,45.5,-0.5,22.6,-11.9,0.1,-0.18
약세장,저평가형,11,3.2,48.2,1.3,29.1,-14.9,0.38,0.46
약세장,모멘텀형,11,0.1,41.2,-1.8,25.6,-8.8,-0.14,-0.58
약세장,국면대응형,11,2.4,49.1,0.4,28.3,-17.0,0.23,0.16
