시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.8,54.4,4.8,36.2,-8.2,1.55,0.86
강세장,저평가형,17,7.3,51.2,1.3,24.1,-7.0,1.23,0.22
강세장,모멘텀형,17,12.3,51.8,6.3,35.2,-6.6,1.91,0.98
강세장,국면대응형,17,10.9,53.2,4.9,31.2,-6.2,2.04,0.82
횡보장,밸런스형,13,8.2,58.1,5.4,29.2,-11.7,1.23,1.14
횡보장,저평가형,13,4.7,56.2,2.0,20.0,-7.5,1.02,0.74
횡보장,모멘텀형,13,8.2,55.9,5.5,33.5,-8.7,1.15,0.82
횡보장,국면대응형,13,8.6,58.8,5.9,31.3,-11.6,1.25,1.11
약세장,밸런스형,11,3.3,52.7,1.4,26.5,-10.9,0.45,0.38
약세장,저평가형,11,2.8,49.1,0.9,30.4,-16.8,0.3,0.3
약세장,모멘텀형,11,0.1,42.4,-1.9,24.9,-10.9,-0.16,-0.54
약세장,국면대응형,11,2.9,50.0,1.0,36.7,-18.0,0.28,0.3
