시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.4,49.1,4.4,37.0,-7.8,1.53,0.67
강세장,저평가형,17,6.8,46.5,0.8,24.4,-9.9,1.08,0.13
강세장,모멘텀형,17,11.6,45.9,5.6,41.0,-10.7,1.47,0.88
강세장,국면대응형,17,10.7,47.9,4.7,45.0,-5.0,1.47,0.72
횡보장,밸런스형,13,7.0,53.5,4.2,31.8,-12.4,0.96,0.75
횡보장,저평가형,13,4.5,55.4,1.8,22.8,-12.5,0.78,0.67
횡보장,모멘텀형,13,9.4,59.5,6.6,29.6,-9.2,1.53,1.18
횡보장,국면대응형,13,7.1,56.9,4.4,30.9,-10.3,1.05,0.79
약세장,밸런스형,11,1.9,45.9,-0.1,20.7,-11.7,0.21,-0.02
약세장,저평가형,11,2.7,46.4,0.8,28.9,-16.9,0.3,0.27
약세장,모멘텀형,11,0.6,42.4,-1.4,23.7,-8.8,-0.06,-0.45
약세장,국면대응형,11,2.7,47.3,0.8,33.6,-18.0,0.26,0.24
