연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,0.2,2.6,4.5,0.0
2017,4,4.1,7.6,5.8,3.2,6.5
2018,4,-1.9,-1.2,-4.3,-5.5,-0.4
2019,4,0.5,9.5,5.6,6.1,7.4
2020,4,9.1,11.9,10.0,8.3,9.1
2021,4,-3.5,8.2,7.2,10.3,9.1
2022,4,-2.3,-1.9,-0.3,2.7,-1.0
2023,4,1.6,7.0,4.2,6.9,6.4
2024,4,-0.3,4.9,4.1,14.1,7.0
2025,4,21.5,21.5,17.0,25.3,19.2
2026,1,32.0,1.4,15.5,21.2,2.0
