연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,3.0,0.8,1.9,-0.3
2017,4,4.1,7.8,3.0,5.1,8.7
2018,4,-1.9,-4.0,-1.5,-6.6,-3.8
2019,4,0.5,6.8,3.3,4.0,6.9
2020,4,9.1,6.7,8.8,7.5,10.2
2021,4,-3.5,2.7,2.3,5.0,4.8
2022,4,-2.3,-2.6,-2.8,-0.8,-3.2
2023,4,1.6,4.9,3.5,4.6,4.8
2024,4,-0.3,6.5,4.4,13.1,8.2
2025,4,21.5,17.2,13.0,16.2,18.8
2026,1,32.0,14.2,-0.4,18.4,16.4
