연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,0.3,2.5,4.5,0.1
2017,4,4.1,7.9,5.5,3.2,6.3
2018,4,-1.9,-1.2,-3.5,-5.5,-0.5
2019,4,0.5,9.9,5.8,6.1,7.4
2020,4,9.1,11.9,10.4,8.3,9.2
2021,4,-3.5,8.4,7.1,10.3,9.5
2022,4,-2.3,-2.6,-1.1,2.7,-1.5
2023,4,1.6,7.2,4.4,6.9,6.4
2024,4,-0.3,4.6,4.2,14.1,7.2
2025,4,21.5,21.5,16.9,25.3,20.0
2026,1,32.0,2.5,15.4,21.2,4.0
