시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.6,49.4,4.6,37.0,-8.0,1.56,0.71
강세장,저평가형,17,6.9,46.5,0.9,24.4,-9.7,1.08,0.14
강세장,모멘텀형,17,11.6,45.9,5.6,41.0,-10.7,1.47,0.88
강세장,국면대응형,17,10.7,48.2,4.7,45.0,-5.0,1.47,0.72
횡보장,밸런스형,13,7.0,53.5,4.2,31.8,-12.4,0.96,0.74
횡보장,저평가형,13,4.0,53.1,1.3,21.3,-12.5,0.69,0.49
횡보장,모멘텀형,13,9.4,59.5,6.6,29.6,-9.2,1.53,1.18
횡보장,국면대응형,13,6.9,56.2,4.1,30.9,-10.4,1.01,0.74
약세장,밸런스형,11,1.9,46.4,0.0,20.7,-11.7,0.22,0.0
약세장,저평가형,11,2.6,46.4,0.7,27.7,-16.9,0.29,0.23
약세장,모멘텀형,11,0.6,42.4,-1.4,23.7,-8.8,-0.06,-0.45
약세장,국면대응형,11,2.8,47.7,0.8,33.9,-18.7,0.26,0.25
