연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.5,2.1,4.6,1.5
2017,4,4.1,11.7,7.0,5.5,9.5
2018,4,-1.9,-3.1,-2.2,-7.2,-2.2
2019,4,0.5,7.5,5.3,6.6,8.9
2020,4,9.1,12.1,14.2,10.0,14.6
2021,4,-3.5,6.9,5.0,6.4,10.3
2022,4,-2.3,-1.2,-0.2,3.0,-1.0
2023,4,1.6,5.1,3.6,0.6,6.8
2024,4,-0.3,8.3,4.6,9.7,7.3
2025,4,21.5,25.2,14.9,22.1,23.3
2026,1,32.0,12.5,-0.7,23.7,9.8
