연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.8,1.8,-0.1,1.3
2017,4,4.1,10.1,7.5,8.5,9.9
2018,4,-1.9,-1.4,-3.1,-6.9,-3.1
2019,4,0.5,6.5,3.0,5.1,7.3
2020,4,9.1,8.0,13.2,10.8,13.9
2021,4,-3.5,8.0,6.4,4.8,7.9
2022,4,-2.3,-1.2,-0.6,0.7,-1.4
2023,4,1.6,7.3,6.4,9.1,6.2
2024,4,-0.3,7.5,5.3,9.9,8.8
2025,4,21.5,25.2,17.0,23.0,20.2
2026,1,32.0,2.2,-2.8,32.2,10.8
