시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.7,50.3,4.7,37.7,-3.2,1.76,0.79
강세장,저평가형,17,8.9,48.2,2.9,28.5,-8.1,1.47,0.53
강세장,모멘텀형,17,10.9,44.3,4.9,36.5,-10.8,1.41,0.75
강세장,국면대응형,17,11.9,49.4,5.9,33.9,-4.4,2.09,1.12
횡보장,밸런스형,13,7.8,55.4,5.1,28.9,-10.2,1.25,0.95
횡보장,저평가형,13,3.1,48.8,0.3,15.5,-10.9,0.59,0.1
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.7,1.64,1.16
횡보장,국면대응형,13,5.8,52.3,3.0,26.6,-8.1,0.99,0.57
약세장,밸런스형,11,1.6,47.7,-0.4,23.3,-11.3,0.13,-0.13
약세장,저평가형,11,3.3,50.5,1.4,30.7,-16.2,0.37,0.4
약세장,모멘텀형,11,0.5,41.8,-1.5,29.6,-11.1,-0.07,-0.48
약세장,국면대응형,11,2.0,49.5,0.0,17.0,-15.8,0.2,0.01
