연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.6,0.7,-0.3,1.4
2017,4,4.1,5.3,3.8,5.1,8.4
2018,4,-1.9,-2.6,-3.3,-7.1,-2.1
2019,4,0.5,2.4,-1.1,0.4,1.1
2020,4,9.1,17.1,10.9,16.3,17.3
2021,4,-3.5,10.2,1.5,8.8,9.5
2022,4,-2.3,-3.1,-5.0,4.2,-4.8
2023,4,1.6,7.0,0.8,5.0,6.1
2024,4,-0.3,4.9,3.9,4.4,5.6
2025,4,21.5,22.1,17.9,22.3,16.4
2026,1,32.0,43.9,7.9,35.8,25.0
