시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.0,55.3,3.0,31.4,-6.5,1.68,0.66
강세장,저평가형,17,5.0,53.5,-1.0,16.4,-7.5,1.07,-0.14
강세장,모멘텀형,17,9.3,49.1,3.3,29.8,-4.0,1.64,0.68
강세장,국면대응형,17,12.3,53.8,6.3,32.3,-8.0,1.96,1.21
횡보장,밸런스형,13,6.1,56.5,3.3,27.4,-10.0,1.12,0.88
횡보장,저평가형,13,4.5,57.3,1.8,19.0,-8.8,0.89,0.67
횡보장,모멘텀형,13,6.1,53.5,3.3,35.9,-11.6,0.78,0.54
횡보장,국면대응형,13,5.0,55.8,2.3,27.8,-8.8,0.93,0.71
약세장,밸런스형,11,4.7,54.1,2.7,30.6,-8.4,0.64,0.67
약세장,저평가형,11,2.6,49.5,0.6,31.5,-15.5,0.24,0.14
약세장,모멘텀형,11,-0.4,43.2,-2.3,30.0,-15.5,-0.2,-0.93
약세장,국면대응형,11,2.6,52.7,0.6,22.7,-16.3,0.3,0.18
