분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,12.4,75.0,6.9,70.0,1.7,53.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,1.1,45.0,2.4,50.0,13.6,66.7,0.4,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-8.6,25.0,-4.8,35.0,-2.9,20.0,-5.5,25.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,4.1,50.0,2.7,40.0,6.4,80.0,3.6,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,12.5,65.0,11.2,80.0,7.4,53.3,13.1,70.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,5.3,50.0,0.9,45.0,0.4,33.3,-0.1,40.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,12.8,75.0,9.0,70.0,12.2,53.3,13.2,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,5.8,60.0,8.9,60.0,-2.5,46.7,4.0,50.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.7,55.0,2.3,50.0,0.3,40.0,3.4,50.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-8.9,25.0,-11.1,25.0,-7.4,26.7,-9.0,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-9.2,15.0,-16.7,5.0,-7.1,26.7,-19.1,0.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,7.9,70.0,13.1,85.0,-2.2,33.3,11.9,85.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,25.1,75.0,6.5,50.0,23.2,66.7,30.9,80.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-4.8,30.0,-10.0,20.0,-4.5,26.7,-11.7,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-1.4,45.0,4.9,55.0,-2.3,46.7,5.4,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,7.6,55.0,10.5,60.0,3.9,66.7,12.8,65.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-7.4,25.0,-8.7,25.0,-8.6,26.7,-3.2,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,19.4,55.0,37.1,75.0,29.1,66.7,41.6,75.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-4.5,35.0,0.1,50.0,-0.1,46.7,-6.6,30.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,20.1,70.0,24.2,75.0,9.5,60.0,24.4,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,4.3,55.0,18.2,55.0,3.4,46.7,3.6,55.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,8.4,35.0,6.7,35.0,17.0,60.0,7.5,35.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,17.9,35.0,1.0,35.0,27.0,26.7,19.3,30.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,4.4,50.0,-0.1,35.0,-11.0,20.0,-0.5,35.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,-1.5,50.0,3.2,45.0,-0.7,53.3,1.0,40.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-7.8,35.0,-10.3,25.0,-6.6,33.3,-8.9,30.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-6.9,30.0,-4.0,30.0,-0.7,46.7,-3.0,35.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,4.8,60.0,8.7,65.0,22.2,60.0,7.8,65.0,2022
