시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.7,50.3,4.7,37.5,-3.2,1.75,0.79
강세장,저평가형,17,8.8,48.2,2.8,27.8,-8.1,1.47,0.52
강세장,모멘텀형,17,11.0,44.3,5.0,37.5,-10.7,1.4,0.75
강세장,국면대응형,17,11.8,49.4,5.8,33.9,-4.4,2.05,1.1
횡보장,밸런스형,13,7.7,55.4,5.0,29.1,-10.0,1.25,0.93
횡보장,저평가형,13,3.2,48.8,0.4,15.7,-11.1,0.6,0.12
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.9,1.65,1.16
횡보장,국면대응형,13,5.8,52.3,3.1,26.9,-8.4,1.0,0.58
약세장,밸런스형,11,1.6,47.7,-0.3,23.8,-11.2,0.14,-0.12
약세장,저평가형,11,3.2,50.5,1.3,30.7,-16.3,0.36,0.37
약세장,모멘텀형,11,0.5,41.8,-1.4,29.7,-10.7,-0.06,-0.45
약세장,국면대응형,11,1.9,49.5,-0.0,17.3,-15.8,0.19,-0.01
