시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,7.5,47.1,1.5,28.8,-7.8,1.21,0.27
강세장,저평가형,17,4.9,44.6,-1.1,20.7,-7.3,0.85,-0.19
강세장,모멘텀형,17,9.5,47.9,3.5,39.7,-7.2,1.46,0.47
강세장,국면대응형,17,9.3,49.7,3.3,35.9,-5.9,1.6,0.62
횡보장,밸런스형,13,5.4,51.8,2.6,19.3,-14.8,0.92,0.64
횡보장,저평가형,13,3.1,50.8,0.4,14.4,-8.8,0.75,0.12
횡보장,모멘텀형,13,4.6,50.0,1.8,24.1,-10.9,0.72,0.33
횡보장,국면대응형,13,4.8,49.5,2.0,21.7,-9.1,0.84,0.49
약세장,밸런스형,11,1.2,47.3,-0.8,22.8,-14.8,0.05,-0.25
약세장,저평가형,11,1.3,47.3,-0.6,27.5,-17.0,0.07,-0.21
약세장,모멘텀형,11,-0.2,40.9,-2.1,29.9,-10.9,-0.18,-0.66
약세장,국면대응형,11,1.5,47.0,-0.4,32.6,-17.8,0.09,-0.15
