연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.6,2.2,3.9,2.3
2017,4,4.1,11.5,7.5,4.8,9.8
2018,4,-1.9,-0.9,-0.4,-3.5,0.6
2019,4,0.5,6.1,4.8,5.3,8.2
2020,4,9.1,12.0,12.7,8.8,14.8
2021,4,-3.5,8.3,5.5,7.1,11.5
2022,4,-2.3,-1.9,-0.1,1.6,-2.0
2023,4,1.6,3.7,4.8,1.1,6.0
2024,4,-0.3,7.3,1.5,6.6,7.5
2025,4,21.5,22.4,15.1,21.8,21.7
2026,1,32.0,12.5,1.5,27.0,10.1
