시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.4,52.9,4.4,35.8,-8.6,1.5,0.79
강세장,저평가형,17,7.9,50.9,1.9,23.4,-7.0,1.24,0.3
강세장,모멘텀형,17,12.1,51.4,6.1,32.5,-4.2,1.94,0.95
강세장,국면대응형,17,10.8,52.4,4.8,30.9,-5.5,2.01,0.78
횡보장,밸런스형,13,7.6,56.9,4.9,26.1,-12.1,1.19,1.02
횡보장,저평가형,13,4.3,55.0,1.5,18.6,-8.9,0.9,0.53
횡보장,모멘텀형,13,7.6,54.4,4.9,33.1,-9.1,1.03,0.71
횡보장,국면대응형,13,8.0,58.5,5.2,32.6,-12.1,1.08,0.92
약세장,밸런스형,11,3.1,52.3,1.1,26.2,-11.0,0.41,0.33
약세장,저평가형,11,2.8,49.1,0.9,30.4,-16.8,0.3,0.3
약세장,모멘텀형,11,-0.6,41.8,-2.5,24.6,-11.1,-0.28,-0.65
약세장,국면대응형,11,2.7,49.1,0.8,36.3,-18.3,0.25,0.23
