분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,7.2,70.0,6.9,80.0,6.7,60.0,7.8,80.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,0.3,45.0,1.4,50.0,14.2,66.7,-0.5,40.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-2.3,30.0,-3.8,35.0,-4.4,13.3,-5.4,20.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,-1.1,45.0,3.8,45.0,1.7,73.3,-1.7,45.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,11.8,65.0,6.6,65.0,7.3,46.7,7.3,60.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,3.5,55.0,-1.9,45.0,0.4,33.3,4.7,45.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,16.0,75.0,15.5,80.0,3.5,40.0,12.2,75.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,3.9,55.0,5.6,55.0,1.5,46.7,7.8,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,5.9,50.0,1.4,50.0,1.9,40.0,5.5,55.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-7.7,30.0,-14.9,20.0,-8.7,26.7,-5.4,40.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-13.8,5.0,-14.8,10.0,-10.7,26.7,-13.5,20.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,7.7,75.0,12.5,85.0,-4.5,26.7,13.6,95.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,28.4,80.0,19.7,55.0,30.7,73.3,30.2,85.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-4.3,30.0,-10.1,25.0,-3.7,26.7,-13.7,20.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,0.8,45.0,2.9,45.0,-2.9,46.7,5.4,60.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,13.0,65.0,10.6,65.0,0.4,53.3,8.7,65.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,2.1,20.0,-10.1,25.0,-8.9,26.7,-7.0,25.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,23.3,60.0,22.4,65.0,29.6,60.0,22.7,70.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-0.3,45.0,3.3,55.0,-0.1,46.7,-1.9,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,23.6,75.0,22.9,75.0,12.5,53.3,20.1,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,2.4,50.0,8.4,50.0,3.8,46.7,4.4,50.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,9.9,50.0,8.8,40.0,15.9,53.3,10.8,45.0,2021
