연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,0.5,1.3,4.5,0.8
2017,4,4.1,8.5,6.5,3.2,7.4
2018,4,-1.9,-1.7,-4.4,-5.5,-0.8
2019,4,0.5,9.5,4.7,6.1,6.7
2020,4,9.1,12.0,9.1,8.3,8.2
2021,4,-3.5,7.9,7.3,10.3,9.1
2022,4,-2.3,-1.9,-0.4,2.7,-2.2
2023,4,1.6,7.0,4.7,6.9,6.9
2024,4,-0.3,7.6,4.9,14.1,7.7
2025,4,21.5,21.7,16.8,25.3,18.6
2026,1,32.0,1.3,14.1,21.2,3.3
