시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%)
강세장,밸런스형,17,9.2,55.6,3.2,31.6,-6.3
강세장,저평가형,17,5.2,53.5,-0.8,16.6,-7.3
강세장,모멘텀형,17,9.5,49.1,3.5,30.0,-3.8
강세장,국면대응형,17,12.5,54.1,6.5,32.5,-7.8
횡보장,밸런스형,13,6.3,57.3,3.5,27.6,-9.8
횡보장,저평가형,13,4.7,58.1,2.0,19.2,-8.6
횡보장,모멘텀형,13,6.3,53.8,3.5,36.1,-11.4
횡보장,국면대응형,13,5.2,56.5,2.5,28.0,-8.6
약세장,밸런스형,11,4.9,54.5,2.9,30.8,-8.2
약세장,저평가형,11,2.8,50.0,0.8,31.7,-15.3
약세장,모멘텀형,11,-0.2,43.6,-2.1,30.2,-15.3
약세장,국면대응형,11,2.8,53.2,0.8,22.9,-16.1
