분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,6.8,65.0,8.7,75.0,6.7,60.0,8.3,75.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,5.2,50.0,0.1,40.0,14.2,66.7,0.1,40.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-3.2,35.0,-5.9,35.0,-4.4,13.3,-4.4,20.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,-2.1,40.0,-0.3,35.0,1.7,73.3,-4.2,30.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,14.5,65.0,9.2,70.0,7.3,46.7,8.6,55.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,3.7,50.0,-0.2,40.0,0.4,33.3,4.2,45.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,18.3,70.0,12.4,80.0,3.5,40.0,15.0,75.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,0.6,45.0,6.6,60.0,1.5,46.7,7.5,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,4.3,50.0,-2.5,35.0,1.9,40.0,2.4,40.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-6.1,30.0,-10.9,20.0,-8.7,26.7,-8.1,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-7.3,20.0,-16.2,15.0,-10.7,26.7,-15.8,15.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,7.2,75.0,14.8,90.0,-4.5,26.7,14.3,90.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,28.9,85.0,12.2,50.0,30.7,73.3,26.6,80.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-4.8,30.0,-6.3,25.0,-3.7,26.7,-9.4,20.0,2019
