연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.3,3.4,3.6,0.7
2017,4,4.1,8.5,6.2,2.5,6.9
2018,4,-1.9,-1.8,-3.8,-4.9,-0.8
2019,4,0.5,10.0,4.6,2.0,7.6
2020,4,9.1,8.9,11.4,8.7,7.4
2021,4,-3.5,7.0,9.0,9.7,9.2
2022,4,-2.3,-3.1,-1.0,0.7,-1.3
2023,4,1.6,7.1,4.9,6.3,7.0
2024,4,-0.3,5.5,3.1,13.8,6.6
2025,4,21.5,22.2,16.5,28.0,22.8
2026,1,32.0,9.5,9.9,22.7,6.6
