분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,8.9,80.0,8.0,80.0,3.8,53.3,8.0,80.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,1.2,45.0,0.4,40.0,1.5,53.3,1.5,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-4.0,35.0,-4.7,40.0,-5.5,20.0,-5.4,30.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,0.5,60.0,-0.9,40.0,-1.1,66.7,1.5,65.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,7.7,70.0,10.1,85.0,-8.3,26.7,4.1,65.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,4.9,55.0,2.0,55.0,7.7,46.7,11.1,60.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,10.7,60.0,6.7,60.0,15.8,60.0,17.7,60.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,-2.1,45.0,-3.5,45.0,5.3,66.7,0.5,50.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,2.4,45.0,-0.3,40.0,-0.8,46.7,-0.4,45.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-5.6,20.0,-10.1,25.0,-5.3,33.3,-6.5,20.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-12.6,10.0,-13.7,15.0,-15.8,13.3,-12.4,20.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,5.4,60.0,10.7,85.0,-6.7,26.7,10.7,85.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,2.7,45.0,-4.7,25.0,9.1,60.0,3.0,45.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-6.1,25.0,-11.6,15.0,-3.5,26.7,-12.6,15.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,0.8,45.0,3.6,55.0,-1.3,40.0,1.9,50.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,12.3,65.0,8.3,45.0,-2.7,46.7,12.3,70.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,17.8,40.0,-6.4,30.0,18.3,40.0,15.4,40.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,23.7,75.0,36.3,80.0,33.3,93.3,34.9,80.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-2.3,50.0,-4.5,45.0,-2.7,40.0,-4.0,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,29.2,75.0,18.1,70.0,16.2,66.7,22.7,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,7.0,65.0,5.3,55.0,12.0,60.0,9.6,65.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,18.3,55.0,8.8,40.0,13.7,66.7,19.5,60.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,15.4,30.0,-1.8,30.0,25.9,26.7,14.0,25.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-0.1,30.0,-6.3,15.0,-16.5,6.7,-5.3,20.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,4.0,70.0,0.9,45.0,2.9,66.7,0.2,50.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-16.9,10.0,-16.5,5.0,-11.5,20.0,-15.7,5.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-6.1,25.0,-6.0,20.0,0.5,46.7,-7.0,20.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,6.6,65.0,1.4,45.0,24.7,60.0,3.4,55.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,20.0,65.0,3.2,45.0,16.4,73.3,10.8,60.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,10.9,70.0,5.6,45.0,11.9,66.7,16.3,70.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-7.3,25.0,-6.4,30.0,-7.0,20.0,-5.1,20.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,4.3,55.0,0.6,50.0,-1.4,46.7,2.3,50.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,24.9,60.0,13.8,45.0,9.1,46.7,15.5,65.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,-1.8,30.0,-2.9,30.0,4.9,46.7,1.3,30.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-10.2,30.0,-5.7,35.0,-1.7,40.0,-7.9,35.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,6.7,65.0,10.4,85.0,5.4,66.7,13.4,85.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,5.2,70.0,1.1,60.0,7.7,66.7,6.4,70.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,29.2,90.0,14.5,65.0,31.7,86.7,27.6,85.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,14.2,45.0,21.7,50.0,24.9,46.7,8.3,50.0,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,39.9,90.0,34.3,90.0,24.9,66.7,23.3,70.0,2025
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,43.9,70.0,7.9,40.0,35.8,66.7,25.0,55.0,2026
