연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.4,2.2,5.6,1.4
2017,4,4.1,10.4,6.5,5.2,8.7
2018,4,-1.9,-1.9,-1.9,-6.2,-1.8
2019,4,0.5,10.0,4.2,6.6,11.0
2020,4,9.1,12.8,12.5,9.8,15.0
2021,4,-3.5,7.6,4.4,8.7,9.8
2022,4,-2.3,0.1,0.5,2.1,-0.9
2023,4,1.6,6.4,5.2,5.4,8.6
2024,4,-0.3,7.3,3.6,11.0,7.3
2025,4,21.5,24.4,16.9,25.5,21.2
2026,1,32.0,8.7,-0.2,23.7,9.9
