분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,12.4,75.0,6.9,70.0,1.7,53.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,1.1,45.0,2.4,50.0,13.6,66.7,0.4,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-8.6,25.0,-4.8,35.0,-2.9,20.0,-5.5,25.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,4.1,50.0,2.7,40.0,6.4,80.0,3.6,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,12.2,75.0,8.2,70.0,3.1,40.0,12.1,75.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,11.4,60.0,2.7,60.0,1.3,33.3,3.3,40.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,10.4,70.0,8.5,65.0,9.7,53.3,17.5,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,6.8,55.0,1.7,60.0,5.3,73.3,1.8,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.3,55.0,3.1,60.0,-8.0,26.7,0.7,45.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-12.1,20.0,-8.9,30.0,-9.1,26.7,-12.1,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.0,10.0,-16.8,5.0,-7.3,26.7,-18.3,5.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,9.0,80.0,13.3,90.0,-6.7,26.7,14.1,85.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,26.1,65.0,10.2,55.0,33.1,66.7,32.6,75.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-1.0,40.0,-6.8,30.0,-3.4,33.3,-10.5,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,0.5,55.0,6.5,65.0,-7.4,33.3,6.7,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,12.5,65.0,8.6,55.0,2.7,60.0,13.8,70.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-1.9,25.0,-7.0,35.0,3.7,33.3,0.8,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,26.2,65.0,30.4,75.0,24.6,60.0,36.3,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-3.3,45.0,0.9,50.0,-0.6,46.7,1.0,55.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,29.0,80.0,22.9,75.0,10.7,53.3,20.7,70.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,18.0,70.0,17.1,55.0,12.5,66.7,9.1,65.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,12.8,45.0,11.8,40.0,2.3,46.7,12.7,45.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-3.2,30.0,-6.8,25.0,29.8,40.0,20.5,45.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,0.6,45.0,-2.3,35.0,-11.1,20.0,-2.7,35.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,5.3,70.0,4.5,50.0,3.9,66.7,4.2,45.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-11.0,25.0,-9.7,25.0,-9.0,26.7,-9.6,25.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-4.2,35.0,-3.6,30.0,-0.7,46.7,-4.6,30.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,7.6,75.0,9.9,70.0,13.5,60.0,7.6,75.0,2022
