연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,3.6,2.2,-0.1,1.9
2017,4,4.1,5.6,4.5,3.8,9.3
2018,4,-1.9,-2.0,-3.4,-7.1,-2.1
2019,4,0.5,3.1,0.6,0.5,2.5
2020,4,9.1,16.9,8.7,16.3,15.1
2021,4,-3.5,11.4,0.2,9.8,10.9
2022,4,-2.3,-2.0,-3.6,4.6,-3.7
2023,4,1.6,3.5,-1.6,3.7,4.4
2024,4,-0.3,6.6,1.9,5.0,4.2
2025,4,21.5,22.8,16.1,21.2,18.0
2026,1,32.0,25.3,8.0,34.3,18.7
