분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,12.4,75.0,6.9,70.0,1.7,53.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,4.0,48.5,0.4,40.0,11.4,63.3,-0.9,35.3,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-7.8,21.6,-5.7,25.8,-7.2,18.5,-5.9,22.2,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,3.4,54.1,1.5,44.1,1.9,67.9,-1.1,45.9,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,9.5,71.9,6.4,64.7,-2.1,34.6,10.1,72.7,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,5.7,48.6,-0.5,44.4,-0.8,35.7,3.3,44.4,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,10.0,69.7,6.2,60.6,11.4,63.0,14.3,76.5,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,5.8,45.5,-0.2,46.9,11.9,67.9,7.1,59.4,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,1.1,44.1,3.6,59.4,-3.1,37.0,-1.9,37.5,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-10.0,18.4,-5.3,35.3,-10.9,17.2,-9.1,24.3,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-14.8,9.1,-17.0,9.4,-10.2,22.7,-17.8,8.1,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,7.6,72.7,12.7,90.0,-2.1,34.6,13.5,86.2,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,18.9,55.9,8.0,46.4,24.1,62.1,19.3,52.9,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-5.8,31.6,-9.2,27.0,-8.0,22.2,-10.4,25.6,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,3.0,58.6,6.9,68.8,-2.5,40.0,7.4,71.4,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,11.2,56.2,7.4,51.5,2.5,57.7,11.3,62.9,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-5.7,23.5,-6.1,33.3,-0.7,27.6,-1.5,26.5,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,22.8,69.4,27.5,76.3,29.9,74.1,32.6,78.9,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-5.3,30.6,-1.5,42.9,-4.3,32.0,-1.3,47.2,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,14.9,62.9,15.2,65.6,5.3,53.8,11.0,60.6,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,8.9,50.0,10.9,46.9,15.1,53.6,5.9,51.5,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,8.9,40.5,6.5,33.3,-0.3,40.7,9.1,43.2,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-2.7,27.8,-3.2,24.2,14.4,30.8,10.8,36.1,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-4.3,29.4,-5.0,25.8,-9.3,19.2,-6.6,25.7,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,4.5,61.3,4.5,55.9,4.4,56.0,2.1,50.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-12.0,21.2,-11.7,13.9,-10.9,28.6,-10.5,16.2,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-8.6,25.8,-9.1,20.0,-6.1,28.6,-8.4,23.3,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,5.6,59.4,5.0,62.1,9.4,51.9,3.9,59.4,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,4.4,48.3,-0.7,44.8,6.3,60.0,4.5,48.3,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,16.3,69.2,18.3,62.9,16.6,71.4,14.1,65.8,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-6.4,27.3,-7.3,22.9,-4.0,26.9,-2.9,37.5,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,5.3,58.1,3.8,51.6,-0.5,40.0,3.4,41.9,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,28.8,56.2,19.3,51.7,39.7,74.1,26.1,62.5,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,3.7,50.0,-1.1,41.7,11.2,46.2,5.7,38.9,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-14.8,21.2,-8.8,36.4,-9.7,24.0,-6.9,29.4,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,8.2,65.7,8.2,63.6,11.0,70.4,7.9,61.1,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,12.1,73.3,4.6,59.4,12.4,63.0,7.7,57.6,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,19.3,63.6,14.4,64.5,18.0,70.8,21.7,75.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,11.4,61.1,12.1,58.3,15.5,50.0,9.9,57.1,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,26.1,75.7,20.7,68.6,18.9,66.7,35.9,77.1,2025
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,14.2,40.6,-0.4,28.6,18.4,56.0,16.4,38.2,2026
