연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,3.2,4.0,3.0,5.3
2017,4,4.1,8.4,8.7,4.4,9.2
2018,4,-1.9,1.7,-1.3,-6.0,-2.2
2019,4,0.5,4.6,1.9,5.9,4.6
2020,4,9.1,14.1,10.3,9.8,10.5
2021,4,-3.5,8.5,6.3,1.8,9.5
2022,4,-2.3,0.6,-1.9,-1.7,-0.4
2023,4,1.6,2.2,2.0,3.7,2.7
2024,4,-0.3,3.8,0.8,7.2,7.3
2025,4,21.5,21.0,13.1,25.1,23.0
2026,1,32.0,11.6,-3.3,20.5,25.3
