분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,11.2,75.0,6.9,75.0,0.4,50.0,7.5,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,0.1,40.0,1.0,45.0,14.8,70.0,1.6,40.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-3.8,35.0,-4.8,35.0,-3.0,25.0,-2.9,30.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,3.1,55.0,5.8,55.0,3.4,65.0,3.1,55.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,11.4,70.0,10.7,75.0,3.5,40.0,11.0,75.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,13.8,65.0,7.5,60.0,3.3,40.0,4.4,45.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,13.7,75.0,10.2,70.0,10.7,55.0,12.5,75.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,7.3,55.0,1.4,60.0,1.7,55.0,11.1,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,5.4,50.0,6.4,60.0,0.6,30.0,5.7,50.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-12.4,20.0,-13.1,20.0,-11.2,25.0,-9.8,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-10.5,15.0,-13.6,10.0,-11.1,20.0,-12.2,15.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,13.7,75.0,18.7,95.0,7.5,45.0,18.6,95.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,25.1,70.0,13.1,75.0,28.4,70.0,35.3,80.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-6.4,30.0,-6.4,35.0,-7.0,25.0,-9.4,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-0.8,55.0,2.9,55.0,-2.8,45.0,2.4,55.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,6.4,60.0,9.6,55.0,2.7,65.0,4.5,55.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-0.9,25.0,-6.2,30.0,-1.3,35.0,1.1,35.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,23.4,75.0,28.1,80.0,30.0,70.0,33.2,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-3.4,35.0,2.4,55.0,-3.1,40.0,-0.3,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,28.8,80.0,26.4,75.0,9.6,65.0,25.2,80.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,24.6,80.0,17.7,55.0,15.8,55.0,14.1,70.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,12.8,45.0,11.9,40.0,2.0,50.0,10.5,45.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-0.6,35.0,-5.2,25.0,23.8,40.0,23.9,55.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-3.6,35.0,-2.6,30.0,-13.2,20.0,-2.6,30.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,1.7,60.0,7.5,75.0,5.1,70.0,3.0,60.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-8.3,35.0,-9.7,25.0,-10.0,20.0,-9.7,25.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-6.8,25.0,-6.2,15.0,-0.7,45.0,-7.2,20.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,6.0,65.0,8.0,60.0,11.8,50.0,6.0,65.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,2.3,50.0,-1.1,45.0,1.0,55.0,1.8,45.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,9.0,65.0,18.6,55.0,16.8,75.0,16.0,70.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-2.4,30.0,-7.7,25.0,-6.3,20.0,-0.2,30.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,5.7,50.0,9.3,75.0,-7.2,30.0,6.2,55.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,22.0,65.0,4.4,55.0,10.5,50.0,16.6,65.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,4.7,55.0,5.2,60.0,11.4,45.0,13.8,50.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-7.1,30.0,-5.7,35.0,-0.8,40.0,-4.7,25.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,9.8,65.0,2.2,55.0,5.1,60.0,4.1,60.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,14.7,85.0,3.8,75.0,10.4,65.0,9.1,85.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,28.9,90.0,19.6,85.0,31.6,90.0,26.5,85.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,15.3,65.0,17.1,65.0,23.8,60.0,18.1,70.0,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,30.5,90.0,20.1,80.0,21.6,65.0,33.0,80.0,2025
