시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.3,54.4,4.3,39.5,-7.8,1.45,0.76
강세장,저평가형,17,7.7,50.3,1.7,26.5,-7.2,1.17,0.27
강세장,모멘텀형,17,12.6,51.0,6.6,36.1,-4.3,1.85,1.19
강세장,국면대응형,17,9.8,51.5,3.8,43.0,-7.7,1.45,0.83
횡보장,밸런스형,13,7.8,56.9,5.0,29.8,-12.1,1.15,1.03
횡보장,저평가형,13,6.1,55.8,3.4,24.0,-10.4,1.09,0.83
횡보장,모멘텀형,13,7.3,55.4,4.5,33.5,-13.6,0.98,0.67
횡보장,국면대응형,13,8.3,58.5,5.6,29.6,-13.1,1.24,1.07
약세장,밸런스형,11,2.8,50.0,0.9,28.3,-14.8,0.32,0.24
약세장,저평가형,11,3.2,50.9,1.3,31.3,-17.7,0.35,0.36
약세장,모멘텀형,11,1.3,46.7,-0.6,26.6,-10.7,0.08,-0.19
약세장,국면대응형,11,2.7,50.0,0.8,37.0,-18.5,0.25,0.23
