연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.5,2.7,2.9,1.5
2017,4,4.1,11.7,7.5,5.4,9.5
2018,4,-1.9,-3.1,-1.9,-7.8,-2.2
2019,4,0.5,7.5,5.5,5.7,8.9
2020,4,9.1,12.1,11.7,8.4,14.6
2021,4,-3.5,6.9,4.5,4.9,10.3
2022,4,-2.3,-1.2,0.8,1.4,-1.0
2023,4,1.6,5.1,4.9,1.5,6.8
2024,4,-0.3,8.3,5.3,6.8,7.3
2025,4,21.5,25.2,16.3,21.7,23.3
2026,1,32.0,12.5,1.2,27.1,9.8
