분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,11.0,75.0,8.1,75.0,4.0,53.3,8.1,75.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,1.1,45.0,-3.1,35.0,9.6,66.7,-0.7,40.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-2.3,35.0,-4.4,30.0,-4.1,13.3,-3.4,25.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,-3.7,35.0,3.3,45.0,0.7,73.3,-2.9,40.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,12.8,65.0,12.2,80.0,7.0,53.3,10.7,65.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,-0.5,35.0,-0.0,45.0,0.4,33.3,-0.6,35.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,13.6,75.0,14.8,75.0,10.5,53.3,11.2,65.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,5.7,60.0,8.8,65.0,1.6,46.7,10.2,60.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,6.6,55.0,1.9,50.0,1.5,46.7,1.5,45.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-11.2,25.0,-12.5,25.0,-9.2,26.7,-9.6,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.7,10.0,-16.9,0.0,-6.7,26.7,-18.7,0.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,6.8,70.0,13.9,90.0,-4.5,26.7,13.3,90.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,31.8,75.0,5.2,45.0,23.2,66.7,30.9,80.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-3.8,30.0,-11.3,25.0,-4.5,26.7,-11.9,20.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-1.1,40.0,5.1,50.0,-2.3,46.7,6.2,60.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,9.2,60.0,11.0,60.0,3.9,66.7,10.0,65.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-8.0,20.0,-9.7,20.0,-8.6,26.7,-2.2,30.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,20.7,55.0,27.7,70.0,23.7,60.0,33.9,80.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-3.3,40.0,-3.5,40.0,2.1,53.3,-5.0,35.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,20.1,70.0,22.7,75.0,13.9,60.0,24.4,65.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,13.2,60.0,12.4,55.0,3.4,46.7,2.4,50.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,8.9,35.0,7.9,30.0,13.3,53.3,8.9,40.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,18.2,30.0,-0.8,25.0,27.0,26.7,19.8,30.0,2021
