연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.2,1.3,2.6,0.3
2017,4,4.1,8.2,9.1,4.9,8.2
2018,4,-1.9,-2.4,-3.4,-4.7,-3.3
2019,4,0.5,9.0,3.0,5.1,8.8
2020,4,9.1,7.4,9.6,7.8,12.7
2021,4,-3.5,10.6,4.0,8.7,7.7
2022,4,-2.3,-2.5,1.1,3.5,-0.5
2023,4,1.6,7.5,5.4,6.9,8.5
2024,4,-0.3,9.8,4.7,14.2,9.7
2025,4,21.5,21.8,16.8,29.7,22.4
2026,1,32.0,5.7,-1.4,11.8,6.1
