시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,10.0,48.5,4.0,30.4,-7.1,1.52,0.63
강세장,저평가형,17,8.4,48.5,2.4,26.8,-12.0,1.4,0.51
강세장,모멘텀형,17,10.9,44.3,4.9,36.5,-10.8,1.41,0.75
강세장,국면대응형,17,9.0,49.4,3.0,27.6,-6.3,1.59,0.47
횡보장,밸런스형,13,7.6,56.9,4.9,29.2,-11.9,1.17,0.91
횡보장,저평가형,13,4.1,51.9,1.4,20.8,-15.3,0.66,0.31
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.7,1.64,1.16
횡보장,국면대응형,13,6.4,56.2,3.6,28.8,-9.1,1.04,0.71
약세장,밸런스형,11,1.5,46.4,-0.5,22.2,-11.9,0.12,-0.15
약세장,저평가형,11,1.8,47.3,-0.2,25.2,-14.3,0.14,-0.05
약세장,모멘텀형,11,0.5,41.8,-1.5,29.6,-11.1,-0.07,-0.48
약세장,국면대응형,11,1.4,48.2,-0.5,24.8,-16.4,0.08,-0.17
