시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,12.3,54.7,6.3,37.1,-6.8,1.72,1.09
강세장,저평가형,17,4.6,48.2,-1.4,31.8,-9.7,0.66,-0.39
강세장,모멘텀형,17,12.1,49.8,6.1,34.3,-7.0,1.9,0.97
강세장,국면대응형,17,10.5,52.6,4.5,27.8,-8.6,1.76,0.71
횡보장,밸런스형,13,5.6,56.5,2.8,29.7,-8.6,1.05,1.18
횡보장,저평가형,13,1.6,47.3,-1.1,12.4,-8.5,0.25,-0.49
횡보장,모멘텀형,13,5.0,53.3,2.2,31.7,-5.3,0.72,0.41
횡보장,국면대응형,13,5.6,56.5,2.8,30.7,-8.6,0.99,1.03
약세장,밸런스형,11,2.1,49.5,0.1,24.3,-12.5,0.23,0.05
약세장,저평가형,11,1.0,46.4,-0.9,23.0,-13.0,0.03,-0.36
약세장,모멘텀형,11,-0.5,42.4,-2.5,33.3,-16.5,-0.21,-0.68
약세장,국면대응형,11,0.9,46.4,-1.1,26.4,-12.3,-0.0,-0.47
