시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,9.3,47.6,3.3,28.9,-4.5,1.59,0.57
강세장,저평가형,17,8.3,47.9,2.3,26.9,-10.9,1.39,0.52
강세장,모멘텀형,17,10.9,44.3,4.9,36.5,-10.8,1.41,0.75
강세장,국면대응형,17,9.1,49.7,3.1,30.0,-7.5,1.5,0.49
횡보장,밸런스형,13,7.7,57.3,4.9,29.2,-11.9,1.19,0.93
횡보장,저평가형,13,4.5,53.8,1.8,20.0,-15.3,0.75,0.41
횡보장,모멘텀형,13,10.3,57.9,7.6,30.7,-8.7,1.64,1.16
횡보장,국면대응형,13,6.0,55.4,3.2,29.1,-10.3,0.96,0.62
약세장,밸런스형,11,1.5,46.4,-0.5,22.2,-11.9,0.12,-0.15
약세장,저평가형,11,2.0,47.7,0.1,27.5,-14.3,0.19,0.03
약세장,모멘텀형,11,0.5,41.8,-1.5,29.6,-11.1,-0.07,-0.48
약세장,국면대응형,11,2.3,49.1,0.4,26.2,-13.4,0.23,0.12
