연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,2.5,1.7,5.5,1.1
2017,4,4.1,10.4,6.4,6.1,10.4
2018,4,-1.9,-1.2,-2.6,-6.9,-2.3
2019,4,0.5,8.1,6.7,7.2,9.8
2020,4,9.1,10.4,12.1,9.7,13.3
2021,4,-3.5,10.1,4.9,7.2,3.6
2022,4,-2.3,-1.4,2.2,2.4,-0.6
2023,4,1.6,5.6,5.3,6.2,9.3
2024,4,-0.3,10.4,7.4,10.5,3.0
2025,4,21.5,25.5,17.8,26.9,25.5
2026,1,32.0,11.6,-1.0,23.4,13.1
