분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,12.4,75.0,6.9,70.0,1.7,53.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,0.8,45.0,4.0,55.0,14.1,66.7,0.8,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-8.2,25.0,-3.8,40.0,-1.6,20.0,-6.2,20.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,4.5,50.0,1.6,40.0,8.2,86.7,3.9,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,13.4,80.0,10.0,75.0,3.3,40.0,12.2,75.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,10.8,55.0,8.0,70.0,1.7,33.3,3.6,40.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,10.5,70.0,6.8,60.0,10.0,53.3,16.4,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,6.9,55.0,1.3,60.0,5.7,73.3,2.4,55.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,5.5,50.0,3.2,55.0,-7.7,26.7,5.7,50.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-11.7,20.0,-7.5,25.0,-8.7,26.7,-10.0,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-10.9,10.0,-16.8,5.0,-7.7,26.7,-18.0,5.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,9.4,85.0,13.3,90.0,-0.9,33.3,15.0,95.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,26.9,65.0,8.4,50.0,33.5,66.7,31.3,70.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-0.6,40.0,-6.8,30.0,-3.1,33.3,-10.1,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,0.9,55.0,6.5,65.0,-7.2,33.3,8.5,70.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,12.6,65.0,8.8,55.0,2.9,60.0,14.4,70.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-1.7,30.0,-7.0,30.0,4.1,40.0,1.0,35.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,26.5,65.0,30.4,75.0,24.9,60.0,36.7,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-3.0,45.0,2.6,55.0,-0.8,40.0,1.3,55.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,29.2,80.0,24.1,75.0,10.9,53.3,20.8,70.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,17.3,70.0,15.0,60.0,12.9,66.7,9.3,65.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,13.1,45.0,11.7,40.0,2.6,46.7,13.0,45.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-1.7,35.0,-6.7,25.0,30.0,40.0,20.1,45.0,2021
