연도,분기수,코스피,밸런스형,저평가형,모멘텀형,국면대응형
2016,4,2.8,1.5,1.0,2.6,0.3
2017,4,4.1,7.9,9.0,4.9,7.9
2018,4,-1.9,-2.4,-3.4,-4.7,-3.4
2019,4,0.5,9.0,2.5,5.1,8.8
2020,4,9.1,7.4,9.3,7.8,12.8
2021,4,-3.5,10.8,4.9,8.7,7.5
2022,4,-2.3,-2.7,1.1,3.5,-0.4
2023,4,1.6,7.6,5.2,6.9,8.5
2024,4,-0.3,9.8,4.7,14.2,9.6
2025,4,21.5,21.7,16.1,29.7,22.4
2026,1,32.0,8.4,-2.4,11.8,6.1
