분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,13.5,75.0,6.9,70.0,1.7,53.3,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,0.8,45.0,6.1,55.0,10.0,66.7,0.8,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-8.3,25.0,-3.8,40.0,-1.6,20.0,-5.7,20.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,3.9,50.0,1.6,40.0,8.2,86.7,3.9,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,13.2,75.0,11.5,75.0,2.6,40.0,12.2,75.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,12.7,60.0,6.5,70.0,3.8,40.0,4.4,45.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,14.0,75.0,10.3,70.0,10.0,53.3,13.2,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,6.9,55.0,1.6,60.0,5.8,66.7,8.4,50.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,5.4,50.0,6.8,60.0,-3.4,33.3,5.7,50.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-12.4,20.0,-9.8,25.0,-11.0,20.0,-9.8,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.4,15.0,-17.8,0.0,-9.0,26.7,-19.6,0.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,6.0,70.0,13.3,90.0,-5.4,33.3,15.0,95.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,27.2,65.0,14.3,55.0,33.1,66.7,29.2,65.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-8.4,25.0,-6.8,30.0,-1.2,33.3,-11.9,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-0.2,50.0,7.0,65.0,-5.6,40.0,6.4,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,11.5,70.0,7.6,55.0,0.3,60.0,12.0,75.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-1.6,35.0,-7.6,30.0,2.8,33.3,-0.5,35.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,23.7,70.0,31.9,75.0,26.5,66.7,36.9,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-4.4,40.0,0.4,50.0,-0.8,40.0,-2.4,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,30.6,80.0,22.1,70.0,11.3,60.0,24.3,75.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,18.8,75.0,15.0,60.0,7.1,53.3,8.5,70.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,13.1,45.0,11.7,40.0,0.4,46.7,14.0,50.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-0.1,40.0,-6.7,25.0,31.6,46.7,21.6,50.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-4.3,40.0,-2.3,35.0,-13.5,20.0,-3.0,30.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,0.7,55.0,4.8,55.0,4.1,66.7,3.4,45.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-8.3,35.0,-9.7,25.0,-10.1,20.0,-9.7,25.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-4.8,35.0,-2.7,30.0,-0.3,46.7,-4.6,30.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,7.7,75.0,10.6,70.0,18.1,66.7,6.8,70.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,6.6,50.0,-3.9,40.0,-1.1,53.3,3.8,55.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,8.9,60.0,20.2,60.0,16.1,80.0,16.2,70.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-2.8,30.0,-5.7,30.0,-6.2,20.0,-0.4,30.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,7.8,55.0,8.9,70.0,-6.3,33.3,7.8,55.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,26.4,70.0,17.2,40.0,18.4,60.0,19.5,70.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,3.8,50.0,4.7,55.0,18.4,53.3,13.1,45.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-9.4,35.0,-8.9,35.0,-2.8,33.3,-11.0,30.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,12.3,75.0,8.4,65.0,4.8,66.7,7.8,70.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,13.0,80.0,4.9,75.0,12.7,60.0,11.9,80.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,29.5,90.0,20.4,85.0,27.7,86.7,28.9,85.0,2025
