시장국면,전략,분기수,평균수익률(%),평균승률(%),코스피초과(%p),최고분기(%),최저분기(%),샤프,IR
강세장,밸런스형,17,11.1,55.3,5.1,37.9,-8.3,1.59,1.01
강세장,저평가형,17,7.5,51.2,1.5,22.1,-7.6,1.27,0.25
강세장,모멘텀형,17,9.0,47.1,3.0,27.0,-6.3,1.54,0.56
강세장,국면대응형,17,11.6,53.8,5.6,32.4,-5.7,2.06,0.97
횡보장,밸런스형,13,8.1,58.5,5.3,29.5,-12.4,1.21,1.1
횡보장,저평가형,13,5.4,56.9,2.6,20.4,-9.8,1.03,0.79
횡보장,모멘텀형,13,6.1,52.3,3.3,29.8,-12.5,0.82,0.54
횡보장,국면대응형,13,7.9,58.5,5.1,29.2,-11.0,1.17,1.02
약세장,밸런스형,11,1.7,49.5,-0.2,23.7,-11.4,0.15,-0.09
약세장,저평가형,11,3.0,49.1,1.1,31.9,-17.8,0.32,0.36
약세장,모멘텀형,11,-0.3,42.7,-2.2,30.0,-15.7,-0.19,-0.74
약세장,국면대응형,11,2.5,49.1,0.6,36.9,-19.6,0.21,0.16
