분기말,매수일,매도일,시장국면,코스피_수익률(%),밸런스형_수익률(%),밸런스형_승률(%),저평가형_수익률(%),저평가형_승률(%),모멘텀형_수익률(%),모멘텀형_승률(%),국면대응형_수익률(%),국면대응형_승률(%),year
2015-12-31,2016-02-14,2016-05-15,약세장,5.6,13.5,75.0,6.9,70.0,-0.8,45.0,6.9,70.0,2016
2016-03-31,2016-05-15,2016-08-14,횡보장,4.2,0.8,45.0,6.0,55.0,12.8,70.0,0.8,45.0,2016
2016-06-30,2016-08-14,2016-11-14,강세장,-3.6,-8.3,25.0,-3.8,40.0,-4.9,20.0,-5.7,20.0,2016
2016-09-30,2016-11-14,2017-02-14,횡보장,5.1,3.9,50.0,1.6,40.0,4.4,70.0,3.9,50.0,2016
2016-12-31,2017-02-14,2017-05-15,횡보장,10.4,13.2,75.0,11.5,75.0,4.5,40.0,12.2,75.0,2017
2017-03-31,2017-05-15,2017-08-14,강세장,1.9,12.6,60.0,6.5,70.0,4.0,40.0,4.3,45.0,2017
2017-06-30,2017-08-14,2017-11-14,강세장,8.2,14.0,75.0,10.3,70.0,11.3,55.0,13.1,70.0,2017
2017-09-30,2017-11-14,2018-02-14,강세장,-4.1,6.9,55.0,1.6,60.0,2.0,55.0,8.4,50.0,2017
2017-12-31,2018-02-14,2018-05-15,횡보장,1.5,5.4,50.0,6.8,60.0,-7.0,25.0,5.7,50.0,2018
2018-03-31,2018-05-15,2018-08-14,횡보장,-8.1,-12.4,20.0,-9.8,25.0,-12.6,20.0,-9.8,25.0,2018
2018-06-30,2018-08-14,2018-11-14,약세장,-8.4,-11.4,15.0,-17.8,0.0,-10.9,25.0,-19.6,0.0,2018
2018-09-30,2018-11-14,2019-02-14,약세장,7.6,6.1,70.0,13.3,90.0,-0.6,40.0,15.0,95.0,2018
2018-12-31,2019-02-14,2019-05-15,횡보장,-6.0,27.2,65.0,14.3,55.0,28.2,65.0,29.3,65.0,2019
2019-03-31,2019-05-15,2019-08-14,약세장,-7.4,-8.4,25.0,-6.9,30.0,-6.6,25.0,-11.9,25.0,2019
2019-06-30,2019-08-14,2019-11-14,약세장,10.4,-0.2,50.0,6.9,65.0,-0.7,45.0,6.3,65.0,2019
2019-09-30,2019-11-14,2020-02-14,횡보장,4.9,11.4,70.0,7.6,55.0,2.1,60.0,11.9,75.0,2019
2019-12-31,2020-02-14,2020-05-15,강세장,-14.1,-1.6,35.0,-7.6,30.0,-1.3,35.0,-0.5,35.0,2020
2020-03-31,2020-05-15,2020-08-14,약세장,24.9,23.7,70.0,32.0,75.0,30.0,70.0,37.0,85.0,2020
2020-06-30,2020-08-14,2020-11-14,강세장,3.6,-4.4,40.0,0.3,50.0,-4.8,35.0,-2.4,45.0,2020
2020-09-30,2020-11-14,2021-02-14,강세장,21.9,30.6,80.0,22.1,70.0,9.8,55.0,24.3,75.0,2020
2020-12-31,2021-02-14,2021-05-15,강세장,0.2,18.9,75.0,15.1,60.0,12.2,50.0,8.6,70.0,2021
2021-03-31,2021-05-15,2021-08-14,강세장,1.2,13.2,45.0,11.7,40.0,2.0,50.0,14.0,50.0,2021
2021-06-30,2021-08-14,2021-11-14,강세장,-5.5,-0.1,40.0,-6.7,25.0,20.8,35.0,21.5,50.0,2021
2021-09-30,2021-11-14,2022-02-14,약세장,-9.8,-4.3,40.0,-2.3,35.0,-15.3,20.0,-3.0,30.0,2021
2021-12-31,2022-02-14,2022-05-15,약세장,-3.7,0.7,55.0,4.8,55.0,4.8,65.0,3.4,45.0,2022
2022-03-31,2022-05-15,2022-08-14,약세장,-2.6,-8.3,35.0,-9.7,25.0,-10.0,20.0,-9.7,25.0,2022
2022-06-30,2022-08-14,2022-11-14,약세장,-2.3,-4.8,35.0,-2.7,30.0,-0.6,45.0,-4.6,30.0,2022
2022-09-30,2022-11-14,2023-02-14,횡보장,-0.4,7.7,75.0,10.6,70.0,11.6,55.0,6.8,70.0,2022
2022-12-31,2023-02-14,2023-05-15,횡보장,0.6,6.5,50.0,-3.9,40.0,2.4,55.0,3.7,55.0,2023
2023-03-31,2023-05-15,2023-08-14,강세장,3.7,8.9,60.0,20.3,60.0,17.0,75.0,16.2,70.0,2023
2023-06-30,2023-08-14,2023-11-14,강세장,-5.4,-2.8,30.0,-5.7,30.0,-6.2,20.0,-0.4,30.0,2023
2023-09-30,2023-11-14,2024-02-14,횡보장,7.7,7.8,55.0,8.9,70.0,-7.2,30.0,7.8,55.0,2023
2023-12-31,2024-02-14,2024-05-15,강세장,4.2,26.4,70.0,17.2,40.0,8.0,45.0,19.4,70.0,2024
2024-03-31,2024-05-15,2024-08-14,강세장,-3.9,3.8,50.0,4.7,55.0,11.9,45.0,13.0,45.0,2024
2024-06-30,2024-08-14,2024-11-14,횡보장,-8.5,-9.4,35.0,-8.9,35.0,-0.6,40.0,-11.0,30.0,2024
2024-09-30,2024-11-14,2025-02-14,약세장,7.1,12.2,75.0,8.4,65.0,7.7,70.0,7.8,70.0,2024
2024-12-31,2025-02-14,2025-05-15,횡보장,1.2,12.9,80.0,4.9,75.0,10.7,65.0,11.8,80.0,2025
2025-03-31,2025-05-15,2025-08-14,횡보장,23.1,29.5,90.0,20.4,85.0,30.1,85.0,28.9,85.0,2025
2025-06-30,2025-08-14,2025-11-14,강세장,24.4,20.6,65.0,21.9,65.0,24.9,60.0,20.1,70.0,2025
2025-09-30,2025-11-14,2026-02-14,강세장,37.3,37.9,90.0,18.2,70.0,21.3,65.0,32.3,80.0,2025
2025-12-31,2026-02-14,2026-05-15,강세장,32.0,12.5,45.0,1.2,35.0,27.1,60.0,9.8,40.0,2026
